malicious_package_name,benign_package_name,repeated_characters,omitted_characters,rearranged_characters,swapped_characters,swapped_words,detect_typos,highest_ratio_package,ratio,,ratio_correct,,ratio_accuracy
bowe,bower,n/a,browserslist,n/a,n/a,n/a,n/a,bower,89,,TRUE,,
bowee,bower,n/a,object.getownpropertydescriptors,n/a,n/a,n/a,n/a,bower,80,,TRUE,,
saync,async,n/a,@babel/plugin-transform-async-to-generator,async,async,n/a,n/a,async,80,,TRUE,,
reqest,request,n/a,qs,n/a,n/a,n/a,n/a,request,92,,TRUE,,
erquest,request,n/a,qs,request,request,n/a,n/a,request,86,,TRUE,,
rqeuest,request,n/a,qs,request,request,n/a,n/a,request,86,,TRUE,,
requset,request,n/a,qs,request,request,n/a,n/a,request,86,,TRUE,,
requets,request,n/a,qs,request,request,n/a,n/a,request,86,,TRUE,,
equest,request,n/a,qs,n/a,n/a,n/a,n/a,request,92,,TRUE,,
reuest,request,n/a,request,n/a,n/a,n/a,n/a,request,92,,TRUE,,
requst,request,n/a,qs,n/a,n/a,n/a,n/a,request,92,,TRUE,,
requet,request,n/a,request,n/a,n/a,n/a,n/a,request,92,,TRUE,,
reques,request,n/a,qs,n/a,n/a,n/a,n/a,request,92,,TRUE,,
rrequest,request,request,qs,n/a,n/a,n/a,n/a,request,93,,TRUE,,
reequest,request,request,qs,n/a,n/a,n/a,n/a,request,93,,TRUE,,
reqquest,request,request,qs,n/a,n/a,n/a,n/a,request,93,,TRUE,,
requuest,request,request,qs,n/a,n/a,n/a,n/a,request,93,,TRUE,,
requeest,request,request,qs,n/a,n/a,n/a,n/a,request,93,,TRUE,,
requesst,request,request,qs,n/a,n/a,n/a,n/a,request,93,,TRUE,,
requestt,request,request,qs,n/a,n/a,n/a,n/a,request,93,,TRUE,,
calk,chalk,n/a,chalk,n/a,n/a,n/a,call,chalk,89,,TRUE,,
chak,chalk,n/a,chalk,n/a,n/a,n/a,chai,chalk,89,,TRUE,,
eact,react,n/a,expand-brackets,n/a,n/a,n/a,n/a,react,89,,TRUE,,
experss,express,n/a,@babel/helper-explode-assignable-expression,express,express,n/a,n/a,express,86,,TRUE,,
exprss,express,n/a,express,n/a,n/a,n/a,n/a,express,92,,TRUE,,
commnader,commander,n/a,co,commander,commander,n/a,n/a,commander,89,,TRUE,,
momen,moment,n/a,moment,n/a,n/a,n/a,n/a,moment,91,,TRUE,,
aysnc,async,n/a,@babel/plugin-syntax-async-generators,async,async,n/a,n/a,async,80,,TRUE,,
asnyc,async,n/a,@babel/plugin-syntax-async-generators,async,async,n/a,n/a,async,80,,TRUE,,
asycn,async,n/a,@babel/plugin-transform-async-to-generator,async,async,n/a,n/a,async,80,,TRUE,,
asnc,async,n/a,async,n/a,n/a,n/a,n/a,async,89,,TRUE,,
aasync,async,async,async,n/a,n/a,n/a,n/a,async,91,,TRUE,,
asyync,async,async,async,n/a,n/a,n/a,n/a,async,91,,TRUE,,
asynnc,async,async,async,n/a,n/a,n/a,n/a,async,91,,TRUE,,
asymc,async,n/a,@webassemblyjs/helper-wasm-section,n/a,n/a,n/a,async,async,80,,TRUE,,
asinc,async,n/a,@babel/helper-member-expression-to-functions,n/a,n/a,n/a,async,async,80,,TRUE,,
4equest,request,n/a,qs,n/a,n/a,n/a,request,request,86,,TRUE,,
commander-js,commander,n/a,ms,n/a,n/a,commander,n/a,commander,86,,TRUE,,
foever,forever,n/a,forever-agent,n/a,n/a,n/a,n/a,forever,92,,TRUE,,
soket.js,socket.js,n/a,ejs,n/a,n/a,n/a,n/a,sockjs,71,,FALSE,,
soket.io,socket.io,n/a,socket.io-parser,n/a,n/a,n/a,n/a,socket.io,94,,TRUE,,
regenrator,regenerator,n/a,regenerator-runtime,n/a,n/a,n/a,n/a,regenerator,95,,TRUE,,
regenraotr,regenerator,n/a,ret,n/a,n/a,n/a,n/a,regenerator,86,,TRUE,,
axois,axios,n/a,@babel/helper-member-expression-to-functions,axios,axios,n/a,n/a,axios,80,,TRUE,,
nothing-js,nothing.js,n/a,is,n/a,n/a,n/a,n/a,neon-js,71,,FALSE,,
getcookies,get-cookie,n/a,cookie,n/a,n/a,n/a,n/a,cookies,82,,FALSE,,
lodahs,lodash,n/a,lodash.templatesettings,lodash,lodash,n/a,n/a,lodash,83,,TRUE,,
web3-eht,web3-eth,web3-eth,web3,web3-eth,n/a,web3,n/a,web3-eth,100,,TRUE,,
we3b,web3,n/a,web3-eth-abi,web3,web3,n/a,n/a,web,86,,FALSE,,
wbe3,web3,n/a,n/a,web3,web3,n/a,n/a,web3,75,,TRUE,,
