malicious_package_name,benign_package_name,detected,reason,,,,,
ecruve,ecurve,yes,detected,,,,,
ecuvre,ecurve,yes,detected,,,,,
dhkey,hdkey,yes,detected,,,,,
hdeky,hdkey,yes,detected,,,,,
fs-extar,fs-extra,yes,detected,,,,,
hdkye,hdkey,yes,detected,,,,,
hw-trnasport-u2f,hw-transport-u2f,no,package not popular,,,,,
path-to-regxep,path-to-regexp,yes,detected,,,,,
rceat,react,no,swapped 3 chars,,,,,
riped160,ripemd160,yes,detected,,,,,
ripedm160,ripemd160,yes,detected,,,,,
ripmed160,ripemd160,yes,detected,,,,,
sb58,bs58,yes,detected,,,,,
scryptys,scryptsy,yes,detected,,,,,
scrytsy,scryptsy,yes,detected,,,,,
