package_name,weekly_downloads
@babel/plugin-transform-modules-systemjs,6592854
@babel/plugin-proposal-unicode-property-regex,6592534
string.prototype.trimright,6575838
string.prototype.trimleft,6574515
trim-right,6572120
@babel/helper-optimise-call-expression,6569773
css-loader,6569592
npm-bundled,6561606
querystringify,6555823
iferr,6550820
functional-red-black-tree,6538409
copy-concurrently,6536070
http-parser-js,6529078
@babel/helper-simple-access,6527564
cssom,6513294
jest-worker,6502607
fs-write-stream-atomic,6496677
es6-symbol,6491811
stream-each,6489947
websocket-driver,6481475
move-concurrently,6479968
@babel/helper-call-delegate,6477438
esquery,6476598
prettier,6474978
abab,6470382
run-queue,6463666
color-string,6463315
configstore,6447875
jest-message-util,6444565
test-exclude,6434330
json-stable-stringify-without-jsonify,6431124
ast-types,6422007
axios,6419035
strict-uri-encode,6398449
@babel/plugin-transform-spread,6396267
postcss-modules-local-by-default,6394953
webidl-conversions,6367498
@babel/helper-wrap-function,6351176
@babel/plugin-transform-named-capturing-groups-regex,6342405
@webassemblyjs/wasm-parser,6336378
@webassemblyjs/wasm-edit,6335081
@webassemblyjs/wast-parser,6334418
@webassemblyjs/ast,6334398
@webassemblyjs/helper-code-frame,6333746
@webassemblyjs/wasm-gen,6332272
@webassemblyjs/wast-printer,6331777
@webassemblyjs/wasm-opt,6331761
@webassemblyjs/helper-wasm-section,6331345
style-loader,6327676
@webassemblyjs/floating-point-hex-parser,6326844
@webassemblyjs/helper-wasm-bytecode,6326605
@webassemblyjs/helper-fsm,6326337
@webassemblyjs/helper-buffer,6322110
@webassemblyjs/leb128,6317925
postcss-modules-values,6316426
clean-css,6315172
@babel/helper-remap-async-to-generator,6305872
is-absolute-url,6304020
promise-inflight,6303055
fast-glob,6287228
jest-util,6279936
acorn-walk,6278580
websocket-extensions,6276030
@babel/plugin-transform-object-super,6275346
ip-regex,6272997
jest-matcher-utils,6266959
jest-get-type,6264999
@babel/helper-regex,6263334
needle,6257992
babel-loader,6252199
@webassemblyjs/helper-module-context,6250269
@webassemblyjs/helper-api-error,6241197
@webassemblyjs/ieee754,6238173
babel-plugin-dynamic-import-node,6234624
@babel/plugin-transform-for-of,6233244
nth-check,6231179
@webassemblyjs/utf8,6229261
@babel/plugin-transform-parameters,6226975
tsutils,6222406
warning,6203043
array-find-index,6188525
postcss-modules-extract-imports,6187594
@babel/plugin-proposal-async-generator-functions,6182561
json3,6182261
exit,6181012
caller-callsite,6178480
@babel/plugin-transform-template-literals,6176141
jest-validate,6175476
jest-diff,6170722
request-promise-native,6149051
babel-jest,6133409
string-length,6129848
currently-unhandled,6123798
scheduler,6123046
boxen,6116654
@babel/helper-builder-binary-assignment-operator-visitor,6114826
@babel/helper-explode-assignable-expression,6113004
@babel/plugin-transform-modules-umd,6112056
@babel/plugin-transform-modules-amd,6107843
tr46,6103994
svgo,6101926
@nodelib/fs.stat,6095257
@babel/plugin-transform-duplicate-keys,6088112
flatted,6087891
chrome-trace-event,6063154
v8-compile-cache,6057195
jest-haste-map,6045622
retry,6043617
regenerate-unicode-properties,6035277
postcss-modules-scope,6014581
xdg-basedir,6013696
jest-regex-util,6001961
jest-mock,5999692
@xtuc/long,5993916
rsvp,5992811
amdefine,5992741
babel-plugin-jest-hoist,5979837
babel-preset-jest,5977671
@babel/plugin-transform-new-target,5976866
es5-ext,5960738
deepmerge,5960735
jest-docblock,5949212
node-notifier,5941650
eventsource,5939746
xml-name-validator,5932932
detect-libc,5931622
object.values,5925426
portfinder,5914742
csso,5910152
@babel/plugin-transform-arrow-functions,5900865
findup-sync,5898692
@babel/plugin-transform-computed-properties,5896721
@babel/plugin-transform-literals,5896147
@babel/plugin-transform-shorthand-properties,5895754
@babel/plugin-syntax-optional-catch-binding,5889021
@babel/plugin-proposal-optional-catch-binding,5885688
@babel/plugin-proposal-class-properties,5880235
@babel/plugin-transform-block-scoped-functions,5877248
exec-sh,5872698
eslint-utils,5867417
